Index,Type,Keys,Description
107,Tab,,Mute / Unmute Tab 
108,Tab,,Mute Other Tabs 
109,Tab,,Mute All Tabs 
110,Tab,,Unmute Other Tabs 
111,Tab,,Unmute All Tabs 
112,Tab,,Capture Page to File 
113,Tab,,Capture Page to Clipboard
114,Page,,Import Bookmarks and Settings
115,Page,,Export Bookmarks
116,Page,,Open Link in New Tab (Over a Link)
117,Page,,Open Link in Background Tab (Overa 
118,Page,,Toggle Reader View 
119,Page,,Bookmark Selected Tabs 
120,Page,,Save Open Tabs as Session
121,Page,,Save Selected Tabs as Session 
122,Page,,Open Saved Session
123,Page,Ctrl+D,Create Bookmark
124,Page,Alt+D ,Focus Address Field
125,Page,Ctrl+R or F5,Reload Page
126,Page,Ctrl+Shift+R or Ctrl+F5 ,Force Page Reload
127,Page,,Page Up
128,Page,,Page Down
129,Page,,Scroll Page to Top
130,Page,,Scroll Page to Bottom
131,Page,F9,Focus Page
132,Page,,Disable Keyboard Shortcuts
133,Page,Ctrl+K or Ctrl+E,Focus Search Field
134,Page,Ctrl+F,Find in Page
135,Page,F3 or Ctrl+G,Find Next in Page
136,Page,Shift+F3 or Ctrl+Shift+G,Find Previous in Page
137,Page,Backspace or Ctrl+Left or Alt+Left,History Back
138,Page,Ctrl+Right or Alt+Right,History Forward
139,Page,,History Rewind
140,Page,,Fast Forward
141,Page,Esc,Stop Loading
142,Page,Ctrl+O,Open File
143,Page,Ctrl+S,Save Page As
144,Page,,Search with Selection
145,Page,Alt+Home,Home
146,Page,Ctrl+Shift+C,Copy Selected Text to Note
147,Page,Shift+Left,Spatial Navigation Left
148,Page,Shift+Up,Spatial Navigation Up
149,Page,Shift+Right,Spatial Navigation Right
150,Page,Shift+Down,Spatial Navigation Down
